Title,File,Exists in Directory,Exists in XML
*batteries not included,Batteries Not Included (1987).mp4,Yes,Yes
$5 a Day,Five Dollars A Day (2008 ).mp4,Yes,Yes
2 Days in the Valley,2 Days In The Valley (1996).mp4,Yes,Yes
2 Fast 2 Furious,2 Fast 2 Furious (2003).mp4,Yes,Yes
2 Guns,2 Guns (2013).mp4,Yes,Yes
2:22,2 22 (2017).mp4,Yes,Yes
"3 Bed, 2 Bath, 1 Ghost","3 Bed, 2 Bath, 1 Ghost (2023).mp4",Yes,Yes
3 Days to Kill,3 Days to Kill (2014).mp4,Yes,Yes
3 Ninjas,3 Ninjas (1992).mp4,Yes,Yes
3 Ninjas Kick Back,3 Ninjas Kick Back (1994).mp4,Yes,Yes
3 Ninjas: High Noon at Mega Mountain,3 Ninjas High Noon At Mega Mountain (1998).mp4,Yes,Yes
3 Ninjas: Knuckle Up,3 Ninjas Knuckle Up (1995).mp4,Yes,Yes
3:10 to Yuma,310 to Yuma (2007).mp4,Yes,Yes
4 Presidents,4 Presidents(2020).mp4,Yes,Yes
5 to 7,5 to 7 (2014).mp4,Yes,Yes
6 Underground,6 Underground (2019).mp4,Yes,Yes
The 6th Day,The 6th Day 2000).mp4,Yes,Yes
8 Seconds,8 Seconds (1994).mp4,Yes,Yes
8MM,8MM (1999).mp4,Yes,Yes
9 Windows,9 Windows (2024).mp4,Yes,Yes
9½ Weeks,Nine Half Weeks (1986).mkv,Yes,Yes
10,10 (1979).mp4,Yes,Yes
10 Lives,10 Lives (2024).mp4,Yes,Yes
"10,000 BC",10000 BC (2008).mp4,Yes,Yes
12 Angry Men,12 Angry Men (1957).mp4,Yes,Yes
12 Monkeys,12 Monkeys (1995).mp4,Yes,Yes
12 Strong,12 Strong (2018).mp4,Yes,Yes
21 Grams,21 Grams (2003).mp4,Yes,Yes
27 Dresses,27 Dresses (2008).mp4,Yes,Yes
28 Days,28 Days (2000).mp4,Yes,Yes
42,42 (2013).mp4,Yes,Yes
47 Ronin,47 Ronin (2013).mp4,Yes,Yes
48 Hrs.,48 Hrs (1982).mp4,Yes,Yes
54,54 (1998).mp4,Yes,Yes
55 Steps,55 Steps (2018).mkv,Yes,Yes
57 Seconds,57 Seconds (2023).mp4,Yes,Yes
65,65 (2023).mp4,Yes,Yes
88 Minutes,88 Minutes (2007).mp4,Yes,Yes
97 Minutes,97 Minutes (2023).mp4,Yes,Yes
97% Owned,97% Owned (2012).mp4,Yes,Yes
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,The 100 Year Old Man Who Climbed Out The Window And Disappeared).mp4,Yes,Yes
127 Hours,127 Hours (2010).mp4,Yes,Yes
300,300 (2006).mp4,Yes,Yes
300: Rise of an Empire,300 Rise of an Empire (2014).mp4,Yes,Yes
1492: Conquest of Paradise,1492 Conquest Of Paradise (1992).mp4,Yes,Yes
1776,1776 (1972).mp4,Yes,Yes
1917,1917 (2019).mp4,Yes,Yes
1984,1984 (1984).mp4,Yes,Yes
2000 Mules,2000 Mules (2022).mp4,Yes,Yes
2001: A Space Odyssey,2001- A Space Odyssey (1968).mp4,Yes,Yes
2010: The Year We Make Contact,2010 The Year We Make Contact (1984).mp4,Yes,Yes
2012,2012 (2009).mp4,Yes,Yes
A Thousand Pieces,A Thousand Pieces (2020).mp4,Yes,Yes
A.I. Artificial Intelligence,Artificial Intelligence (2001).mp4,Yes,Yes
ABBA: The Movie,ABBA- The Movie (1977).mp4,Yes,Yes
Abducted at an HBCU: A Black Girl Missing Movie,Abducted At An HBCU- A Black Girl Missing (2024).mp4,Yes,Yes
About him & her,About him & her (2023).mp4,Yes,Yes
About Last Night,About Last Night (1986).mp4,Yes,Yes
About My Father,About My Father (2023).mp4,Yes,Yes
About Time,About Time (2013).mp4,Yes,Yes
Above Suspicion,Above Suspicion (2019).mp4,Yes,Yes
Absence of Malice,Absence of Malice (1981).mp4,Yes,Yes
Absolute Proof,Absolute Proof (2021).mp4,Yes,Yes
Absolution,Absolution (2024).mp4,Yes,Yes
The Abyss,The Abyss (1989).mp4,Yes,Yes
Accepted,Accepted (2006).mp4,Yes,Yes
The Accountant,The Accountant (2016).mp4,Yes,Yes
The Accused,The Accused (1988).mp4,Yes,Yes
Aces: Iron Eagle III,Aces Iron Eagle III (1992).mp4,Yes,Yes
The Adam Project,The Adam Project (2022).mp4,Yes,Yes
Adam Sandler: Love You,Adam Sandler Love You (2024).mp4,Yes,Yes
Addams Family Values,Addams Family Values (1993).mp4,Yes,Yes
Adeline,Adeline (2022).mp4,Yes,Yes
The Adjustment Bureau,The Adjustment Bureau (2011).mp4,Yes,Yes
Adults in the Room,Adults In The Room (2019).mp4,Yes,Yes
The Adventurer: The Curse of the Midas Box,The Adventurer The Curse of the Midas Box (2013).mp4,Yes,Yes
Adventures in Babysitting,Adventures In Babysitting (1987).mp4,Yes,Yes
The Adventures of Baron Munchausen,The Adventures Of Baron Munchausen (1988).mp4,Yes,Yes
The Adventures of Buckaroo Banzai Across the 8th Dimension,The Adventures of Buckaroo Banzai Across the 8th Dimension (1984).mp4,Yes,Yes
The Adventures of Ford Fairlane,The Adventures Of Ford Fairlane (1990).mp4,Yes,Yes
Aeon Flux,Aeon Flux (2005).mp4,Yes,Yes
An Affair to Remember,An Affair to Remember (1957).mp4,Yes,Yes
Africa Screams,Africa Screams (1949).mp4,Yes,Yes
After Death,After Death (2012 ).mp4,Yes,Yes
After Earth,After Earth (2013).mp4,Yes,Yes
After Everything,After Everything (2023).mp4,Yes,Yes
After the Dark,After the Dark (2013).mp4,Yes,Yes
After We Collided,After We Collided (2020).mp4,Yes,Yes
After.Life,After Life (2009).mp4,Yes,Yes
Against All Odds,Against All Odds (1984).mp4,Yes,Yes
The Age of Adaline,The Age of Adaline 2015).mp4,Yes,Yes
Air,Air (2023).mp4,Yes,Yes
Air Force One,Air Force One (1997).mp4,Yes,Yes
Airplane!,Airplane! (1980).mp4,Yes,Yes
